ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
1,8.93,0.183,5.35,0.124,0.68,6.18,31.86,Debu,60.49,1.767,Tidak Subur
2,6.24,0.42,54.32,0.554,4.87,33.46,82.77,Lempung Berpasir,35.97,0.96,Subur
3,4.82,,13.44,0.257,,14.79,55.45,Debu,11.48,1.851,Tidak Subur
4,7.34,0.269,17.46,0.542,2.49,35.57,62.09,Lempung Berliat,37.54,1.017,Subur
5,3.77,0.144,1.15,0.106,0.62,18.97,10.85,Liat,6.97,1.766,Tidak Subur
6,3.67,0.032,10.19,0.194,0.81,15.53,40.82,Pasir,16.73,1.517,Tidak Subur
7,6.18,,57.85,0.385,4.29,25.97,79.92,Lempung,32.79,1.162,Subur
8,8.79,0.05,5.25,,0.41,15.98,12.58,Liat,72.24,1.634,Tidak Subur
9,6.81,0.424,50.38,0.434,2.31,20.92,91.76,,25.3,1.039,Subur
10,3.55,,8.64,0.157,1.19,17.5,47.89,,,1.413,Tidak Subur
11,6.13,0.432,,0.602,4.46,30.94,78.88,Lempung Berliat,31.73,1.158,Subur
12,4.1,0.115,13.85,0.182,0.57,14.77,49.84,Pasir,10.58,1.801,Tidak Subur
13,3.68,0.153,11.26,0.28,1.88,5.8,24.56,Liat,15.86,1.678,Tidak Subur
14,6.95,0.496,41.36,0.503,4.07,31.48,86.77,Lempung Berpasir,34.27,1.183,Subur
15,6.11,0.282,45.28,0.707,3.54,32.1,68.37,Lempung,,0.923,Subur
16,6.75,0.24,42.03,0.711,3.75,25.69,86.11,,39.84,1.001,Subur
17,6.58,,41.02,,2.57,36.86,87.17,Lempung,27.99,1.138,Subur
18,6.01,0.318,54.69,0.776,2.89,28.58,66.05,Lempung,,1.113,Subur
19,8.85,0.077,3.15,0.223,1.7,16.33,56.41,Pasir,59.93,1.456,Tidak Subur
20,8.48,0.177,,,1.47,7.21,44.24,Liat,57.78,1.432,Tidak Subur
21,6.62,0.439,55.06,0.604,3.22,43.95,65.27,Lempung Berpasir,26.2,,Subur
22,8.42,0.159,6.8,0.163,0.43,14.73,21.24,Liat,57.45,1.701,Tidak Subur
23,8.43,0.011,7.65,0.252,0.78,17.18,27.39,Pasir,71.45,1.634,Tidak Subur
24,4.44,0.127,3.74,0.218,0.57,6.67,58.55,Debu,18.68,1.814,Tidak Subur
25,8.05,0.029,6.54,0.109,1.77,8.33,45.98,Liat,68.65,1.69,Tidak Subur
26,6.16,0.312,32.82,0.517,2.08,21,94.98,Lempung Berliat,36.7,1.013,Subur
27,4.88,,2.38,0.163,0.64,6.11,17.72,Debu,9.95,1.672,Tidak Subur
28,6.43,0.376,,0.306,3.45,32.1,71.93,Lempung Berpasir,36.14,1.048,Subur
29,6.76,0.359,40.63,0.597,2.18,44.14,75.94,Lempung,27.81,0.904,Subur
